;DAY_DATE;ISIN;TRADING_CURRENCY_CODE;SUM(NUMBER_OF_TRADES);SUM(TURNOVER_CHF)
5461167;2010-07-15;CH0012255151;CHF;2407;46515130.5
3760921;2010-07-16;CH0012255151;CHF;2348;55286485.5
2700260;2010-07-19;CH0012255151;CHF;1917;37247927.5
5831277;2010-07-20;CH0012255151;CHF;3171;68566634.2
4450192;2010-07-21;CH0012255151;CHF;2753;61680508.7
5017350;2010-07-22;CH0012255151;CHF;3773;69621250.7
479438;2010-07-23;CH0012255151;CHF;2966;50686759.3
3390992;2010-07-26;CH0012255151;CHF;1941;32532932.6
3317234;2010-07-27;CH0012255151;CHF;2973;52264409.1
3268052;2010-07-28;CH0012255151;CHF;2390;46472573.2
3785532;2010-07-29;CH0012255151;CHF;2068;41069078.8
5362554;2010-07-30;CH0012255151;CHF;2121;43971748.9
4647491;2010-08-02;CH0012255151;CHF;2120;39384207.6
3070304;2010-08-03;CH0012255151;CHF;1599;25497419.3
381230;2010-08-04;CH0012255151;CHF;6171;145595799.1
2330560;2010-08-05;CH0012255151;CHF;4743;108676448.9
3243229;2010-08-06;CH0012255151;CHF;4642;82795581.3
5337883;2010-08-09;CH0012255151;CHF;3197;64258029.0
1836910;2010-08-10;CH0012255151;CHF;2955;53057186.7
6240580;2010-08-11;CH0012255151;CHF;4532;84412275.4
4450194;2010-08-12;CH0012255151;CHF;3846;84081394.6
479441;2010-08-13;CH0012255151;CHF;2884;51253003.4
602697;2010-08-16;CH0012255151;CHF;2780;46828987.2
997206;2010-08-17;CH0012255151;CHF;2751;45940955.5
5362556;2010-08-18;CH0012255151;CHF;2000;37036854.9
2872788;2010-08-19;CH0012255151;CHF;2721;51149416.8
5214506;2010-08-20;CH0012255151;CHF;2226;54892801.6
4179205;2010-08-23;CH0012255151;CHF;1889;43830807.0
3908409;2010-08-24;CH0012255151;CHF;2548;60673167.7
3317240;2010-08-25;CH0012255151;CHF;2919;79710563.5
2428851;2010-08-26;CH0012255151;CHF;2772;47192490.1
3514765;2010-08-27;CH0012255151;CHF;2752;57617319.3
